subject,predicate,object,truth,katz,adamic_adar,jaccard,ks,degree_product,kl_rel,kl,pra,pathent,predpath,simrank,ensemble_score
http://dbpedia.org/resource/E._E._Smith,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Skylark_DuQuesne,1,0.011375,0.513898,0.037037,0.207401,147.0,0.311997,0.204423,1.0,1617.741964,1.0,0.004719,0.759765625
http://dbpedia.org/resource/L._Sprague_de_Camp,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Continent_Makers_and_Other_Tales_of_the_Viagens,1,0.034875,0.0,0.0,0.128481,748.0,0.157538,0.142234,0.0,4252.376147,1.0,0.000902,0.759765625
http://dbpedia.org/resource/Charles_Stross,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Glasshouse_(novel),1,0.007125,0.0,0.0,0.089552,117.0,0.123737,0.120884,1.0,1326.242857,1.0,0.001844,0.7578125
http://dbpedia.org/resource/Tanith_Lee,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Dreams_of_Dark_and_Light:_The_Great_Short_Fiction_of_Tanith_Lee,1,0.009,0.0,0.0,0.03116,222.0,0.064992,0.082346,1.0,2218.518665,1.0,0.000628,0.755859375
http://dbpedia.org/resource/Cordwainer_Smith,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Norstrilia,1,0.00675,0.113482,0.047619,0.029866,57.0,0.076604,0.091654,1.0,933.914075,1.0,0.004406,0.7578125
http://dbpedia.org/resource/Catherine_Crook_de_Camp,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Footprints_on_Sand,1,0.00525,0.0,0.0,0.065688,112.0,0.127542,0.102182,1.0,940.284654,1.0,0.000715,0.7578125
http://dbpedia.org/resource/Jerry_Pournelle,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Footfall,1,0.009125,0.113482,0.037037,0.07124,115.0,0.155966,0.124671,1.0,1229.818185,1.0,0.003019,0.759765625
http://dbpedia.org/resource/Todd_McCaffrey,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Dragonsblood,1,0.017875,0.872152,0.133333,0.219749,72.0,0.289312,0.189514,1.0,2326.246415,1.0,0.011305,0.7578125
http://dbpedia.org/resource/Vernor_Vinge,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/A_Deepness_in_the_Sky,1,0.02425,1.356152,0.12,0.349951,147.0,0.348592,0.219522,1.0,2618.124252,1.0,0.006791,0.759765625
http://dbpedia.org/resource/China_Miéville,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/King_Rat_(Miéville_novel),1,0.00775,0.192363,0.041667,0.075421,66.0,0.118658,0.137041,1.0,1761.753236,1.0,0.003583,0.7578125
http://dbpedia.org/resource/Barry_B._Longyear,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Sea_of_Glass,1,0.001,0.0,0.0,0.024316,12.0,0.061656,0.081322,1.0,178.591085,1.0,0.000463,0.724609375
http://dbpedia.org/resource/Nancy_Kress,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Beggars_in_Spain,1,0.011875,0.627381,0.125,0.186265,65.0,0.311997,0.219522,1.0,1305.315068,1.0,0.008931,0.7578125
http://dbpedia.org/resource/Greg_Bear,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Darwin's_Radio,1,0.006125,0.0,0.0,0.051789,92.0,0.105271,0.101932,1.0,1281.197376,1.0,0.001386,0.75390625
http://dbpedia.org/resource/John_Kessel,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Meeting_in_Infinity,1,0.006375,0.113482,0.052632,0.032716,64.0,0.076604,0.0893,1.0,1301.201276,1.0,0.002712,0.7578125
http://dbpedia.org/resource/John_Wyndham,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Outward_Urge,1,0.01775,1.24267,0.083333,0.332355,120.0,0.348592,0.227211,1.0,2476.658786,1.0,0.007805,0.759765625
http://dbpedia.org/resource/Eric_Flint,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/1635:_The_Cannon_Law,1,0.035375,1.477931,0.105263,0.260562,320.0,0.311997,0.190531,1.0,5891.041874,1.0,0.00648,0.763671875
http://dbpedia.org/resource/Gardner_Dozois,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Galactic_Empires_(anthology),1,0.00475,0.0,0.0,0.090074,100.0,0.182232,0.15334,1.0,824.041934,1.0,0.000583,0.75390625
http://dbpedia.org/resource/Ian_Curtis,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Touching_from_a_Distance,1,0.004625,0.0,0.0,0.029813,104.0,0.051617,0.057737,1.0,1696.456645,1.0,0.000646,0.75390625
http://dbpedia.org/resource/Robert_A._Heinlein,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/I_Will_Fear_No_Evil,1,0.027125,0.594381,0.02439,0.139578,243.0,0.295586,0.239346,0.0,4651.886061,1.0,0.006183,0.76171875
http://dbpedia.org/resource/Eugene_Byrne,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Back_in_the_USSA,1,0.0005,0.0,0.0,0.0,4.0,0.0,0.0,1.0,96.328446,1.0,0.000472,0.673828125
