subject,predicate,object,truth,adamic_adar,katz,kl_rel,kl,jaccard,degree_product,simrank,ks,pathent,pra,predpath,ensemble_score
http://dbpedia.org/resource/Kill_Bill:_Volume_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/David_Carradine,1,0.0,0.021625,0.141755,0.085005,0.0,1665.0,4.4e-05,0.098521,4810.133503,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/A_Feast_at_Midnight,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Julie_Dreyfus,1,0.0,0.0,0.069385,0.061712,0.0,24.0,1.3e-05,0.039215,-19.814253,0.0,0.0,0.15853834961347307
http://dbpedia.org/resource/Donnie_Brasco_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Michael_Madsen,1,0.0,0.016125,0.150083,0.088438,0.0,1768.0,2e-05,0.073092,2908.448312,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/Missing_(Canadian_TV_series),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Vivica_A._Fox,1,0.0,0.00025,0.152876,0.093878,0.0,1220.0,2.8e-05,0.090898,30.253452,0.0,0.0,0.15853834961347307
http://dbpedia.org/resource/Clinton_and_Nadine,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Morgan_Freeman,1,0.0,0.000375,0.139542,0.090961,0.0,1026.0,3e-05,0.089164,50.97973,0.0,0.0,0.15853834961347307
http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Bill_Nighy,1,0.0,0.01875,0.14873,0.090045,0.0,2080.0,4.6e-05,0.076949,4382.540264,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Emma_Thompson,1,0.0,0.026875,0.152353,0.096601,0.0,2080.0,4e-05,0.1294,5389.277396,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Keira_Knightley,1,0.0,0.00525,0.14873,0.094328,0.0,1456.0,3.7e-05,0.105089,897.69801,0.0,1.0,0.39077963837227575
http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Liam_Neeson,1,0.0,0.02,0.14873,0.088349,0.0,2574.0,2.6e-05,0.074585,3616.410656,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Rowan_Atkinson,1,0.0,0.023375,0.14873,0.096212,0.0,1144.0,6.3e-05,0.087875,12617.621735,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/High_School_Musical_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Corbin_Bleu,1,0.630782,0.015625,0.191835,0.136464,0.054054,308.0,0.001772,0.161286,2093.948962,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/High_School_Musical_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Monique_Coleman,1,0.630782,0.009375,0.191835,0.152423,0.090909,143.0,0.002952,0.160613,525.155233,0.0,1.0,0.39077963837227575
http://dbpedia.org/resource/High_School_Musical_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Zac_Efron,1,0.630782,0.018125,0.191835,0.128536,0.037736,484.0,0.001004,0.129938,2881.388064,1.0,1.0,0.9657087088441187
http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Demi_Lovato,1,0.40243,0.00825,0.219955,0.122583,0.008547,1177.0,0.000349,0.096163,845.977239,0.0,1.0,0.39077963837227575
http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Meaghan_Martin,1,0.40243,0.006,0.219955,0.165293,0.043478,143.0,0.001425,0.10005,230.286714,0.0,1.0,0.39077963837227575
http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Maria_Canals-Barrera,1,0.40243,0.010375,0.219955,0.155537,0.034483,209.0,0.001048,0.112506,1194.748352,1.0,1.0,0.9657087088441187
