subject,predicate,object,truth,katz,jaccard,kl_rel,degree_product,adamic_adar,kl,ks,pathent,simrank,pra,predpath,ensemble_score
http://dbpedia.org/resource/Amar'e_Stoudemire,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Brooklyn_Nets,1,0.123,0.0,0.084432,19376.0,0.0,0.071652,0.047686,3543.74853,0.000259,1.0,1.0,0.9396704196039913
http://dbpedia.org/resource/Steve_Nash,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Brooklyn_Nets,1,0.204,0.0,0.646573,20068.0,0.0,0.132633,0.154099,4428.551142,0.000244,1.0,1.0,0.9396704196039913
http://dbpedia.org/resource/Nathan_Knight,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Minnesota_Timberwolves,1,0.013375,0.002591,0.333772,4136.0,1.442695,0.131186,0.135535,1497.500548,0.003221,0.0,1.0,0.9489701444640822
http://dbpedia.org/resource/Dwight_Howard,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Los_Angeles_Lakers,1,0.05275,0.003846,0.333772,20412.0,4.328085,0.120175,0.262185,3571.396473,0.003079,0.0,1.0,0.9558015943542206
http://dbpedia.org/resource/Rasheed_Wallace,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Memphis_Tigers_men's_basketball,1,0.03625,0.0,0.077065,1840.0,0.0,0.08824,0.050536,8455.871695,0.000136,1.0,1.0,0.9396704196039913
http://dbpedia.org/resource/Mitchell_Robinson,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/New_York_Knicks,1,0.128625,0.001229,0.487958,5656.0,1.442695,0.129962,0.159124,3609.7929,0.004303,0.0,1.0,0.9558015943542206
http://dbpedia.org/resource/Wayne_Embry,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Toronto_Raptors,1,0.0535,0.0,0.09065,4381.0,0.0,0.077934,0.039317,4544.051364,0.000293,1.0,1.0,0.9396704196039913
http://dbpedia.org/resource/Ben_Wallace,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Detroit_Pistons,1,0.256625,0.002375,0.711995,19680.0,2.88539,0.129713,0.2663,4067.672585,0.002586,1.0,1.0,0.9522331209414758
http://dbpedia.org/resource/Penns_Grove_High_School,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Devil,1,0.0,0.0,0.0245,105.0,0.0,0.049514,0.012657,-17.684972,1.8e-05,0.0,1.0,0.877468277380479
http://dbpedia.org/resource/Chauncey_Billups,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Portland_Trail_Blazers,1,0.187625,0.0,0.646573,16680.0,0.0,0.136598,0.13588,4683.351716,0.00036,1.0,1.0,0.9396704196039913
http://dbpedia.org/resource/Jerry_West,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Los_Angeles_Clippers,1,0.0185,0.0,0.113777,13275.0,0.0,0.081669,0.065768,3217.972715,0.000295,0.0,1.0,0.9436245100039158
http://dbpedia.org/resource/Elton_Brand,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Philadelphia_76ers,1,0.181875,0.002198,0.333772,22175.0,2.88539,0.117911,0.185052,3618.420756,0.002903,1.0,1.0,0.9527539542748091
http://dbpedia.org/resource/Bernie_Bickerstaff,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cleveland_Cavaliers,1,0.089,0.0,0.064962,4235.0,0.0,0.064225,0.030741,4100.060593,0.000365,1.0,1.0,0.9396704196039913
http://dbpedia.org/resource/Carmelo_Anthony,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Los_Angeles_Lakers,1,0.0565,0.001271,0.333772,24192.0,1.442695,0.120175,0.116788,3504.763531,0.001296,0.0,0.0,0.5406730306643888
http://dbpedia.org/resource/Rancocas_Valley_Regional_High_School,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Devil,1,0.0,0.0,0.031994,135.0,0.0,0.05566,0.011696,-17.322403,1.3e-05,0.0,1.0,0.93473620745386
http://dbpedia.org/resource/Stephen_Curry,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Golden_State_Warriors,1,0.1635,0.001167,0.487958,26432.0,1.442695,0.129591,0.184059,3408.805584,0.000957,0.0,1.0,0.9558015943542206
